folder,freesound_id,name,duration_s,author,license,filename
dragon,389617,Growl 2,1.67,_stubb,http://creativecommons.org/publicdomain/zero/1.0/,fs_389617_growl_2.mp3
dragon,389616,Growl 3,2.3,_stubb,http://creativecommons.org/publicdomain/zero/1.0/,fs_389616_growl_3.mp3
dragon,389615,Growl 4,1.73,_stubb,http://creativecommons.org/publicdomain/zero/1.0/,fs_389615_growl_4.mp3
dragon,389614,Growl 5,1.63,_stubb,http://creativecommons.org/publicdomain/zero/1.0/,fs_389614_growl_5.mp3
dragon,389610,Growl 1,1.23,_stubb,http://creativecommons.org/publicdomain/zero/1.0/,fs_389610_growl_1.mp3
dragon,389639,Growl 6,1.07,_stubb,http://creativecommons.org/publicdomain/zero/1.0/,fs_389639_growl_6.mp3
dragon,389637,growl 8.wav,2.9,_stubb,http://creativecommons.org/publicdomain/zero/1.0/,fs_389637_growl_8_wav.mp3
dragon,389653,growl 9.wav,2.57,_stubb,http://creativecommons.org/publicdomain/zero/1.0/,fs_389653_growl_9_wav.mp3
beast,625500,Animal Dog Growl 01.wav,2.27,abhisheky948,http://creativecommons.org/publicdomain/zero/1.0/,fs_625500_animal_dog_growl_01_wav.mp3
beast,571386,large_animal_groan_growl.wav,4.33,Vaporpup,http://creativecommons.org/publicdomain/zero/1.0/,fs_571386_large_animal_groan_growl_wav.mp3
beast,625501,Animal Dog Bark And Growl 01.wav,2.77,abhisheky948,http://creativecommons.org/publicdomain/zero/1.0/,fs_625501_animal_dog_bark_and_growl_01_wav.mp3
beast,389617,Growl 2,1.67,_stubb,http://creativecommons.org/publicdomain/zero/1.0/,fs_389617_growl_2.mp3
beast,389616,Growl 3,2.3,_stubb,http://creativecommons.org/publicdomain/zero/1.0/,fs_389616_growl_3.mp3
beast,389615,Growl 4,1.73,_stubb,http://creativecommons.org/publicdomain/zero/1.0/,fs_389615_growl_4.mp3
beast,389614,Growl 5,1.63,_stubb,http://creativecommons.org/publicdomain/zero/1.0/,fs_389614_growl_5.mp3
beast,389610,Growl 1,1.23,_stubb,http://creativecommons.org/publicdomain/zero/1.0/,fs_389610_growl_1.mp3
beast,389639,Growl 6,1.07,_stubb,http://creativecommons.org/publicdomain/zero/1.0/,fs_389639_growl_6.mp3
beast,389637,growl 8.wav,2.9,_stubb,http://creativecommons.org/publicdomain/zero/1.0/,fs_389637_growl_8_wav.mp3
beast,389653,growl 9.wav,2.57,_stubb,http://creativecommons.org/publicdomain/zero/1.0/,fs_389653_growl_9_wav.mp3
beast,719670,Small animal growls,5.71,JoMungus,http://creativecommons.org/publicdomain/zero/1.0/,fs_719670_small_animal_growls.mp3
beast,389638,Growl 7,0.53,_stubb,http://creativecommons.org/publicdomain/zero/1.0/,fs_389638_growl_7.mp3
beast,712409,monster_growl_01,7.39,vekoN,http://creativecommons.org/publicdomain/zero/1.0/,fs_712409_monster_growl_01.mp3
beast,712408,monster_growl_00,7.95,vekoN,http://creativecommons.org/publicdomain/zero/1.0/,fs_712408_monster_growl_00.mp3
beast,342204,Beast Snarling,3.22,Christopherderp,http://creativecommons.org/publicdomain/zero/1.0/,fs_342204_beast_snarling.mp3
beast,30449,monster.wav,6.04,Lantis,http://creativecommons.org/publicdomain/zero/1.0/,fs_30449_monster_wav.mp3
beast,443405,monster-snarl-5.ogg,18.87,Darsycho,http://creativecommons.org/publicdomain/zero/1.0/,fs_443405_monster_snarl_5_ogg.mp3
beast,466830,"Dragon: Snarl, Roar + Attack",3.28,Breviceps,http://creativecommons.org/publicdomain/zero/1.0/,fs_466830_dragon_snarl_roar_attack.mp3
beast,442815,Goblin Snarl,1.97,qubodup,http://creativecommons.org/publicdomain/zero/1.0/,fs_442815_goblin_snarl.mp3
beast,443131,monster snarls 2,6.88,Darsycho,http://creativecommons.org/publicdomain/zero/1.0/,fs_443131_monster_snarls_2.mp3
beast,442198,monster snarls.ogg,12.98,Darsycho,http://creativecommons.org/publicdomain/zero/1.0/,fs_442198_monster_snarls_ogg.mp3
construct,222521,"Cracking Earthquake (cracking soil, cracking stone)",11.94,uagadugu,http://creativecommons.org/publicdomain/zero/1.0/,fs_222521_cracking_earthquake_cracking_soil_cracki.mp3
construct,813054,Big robot footstep 003,1.82,AudioPapkin,http://creativecommons.org/publicdomain/zero/1.0/,fs_813054_big_robot_footstep_003.mp3
construct,813055,Big robot footstep 004,2.5,AudioPapkin,http://creativecommons.org/publicdomain/zero/1.0/,fs_813055_big_robot_footstep_004.mp3
construct,813056,Big robot footstep,2.23,AudioPapkin,http://creativecommons.org/publicdomain/zero/1.0/,fs_813056_big_robot_footstep.mp3
construct,813053,Big robot footstep 002,1.63,AudioPapkin,http://creativecommons.org/publicdomain/zero/1.0/,fs_813053_big_robot_footstep_002.mp3
construct,815039,Big robot footstep 005,2.03,AudioPapkin,http://creativecommons.org/publicdomain/zero/1.0/,fs_815039_big_robot_footstep_005.mp3
construct,315753,Running Gear,9.56,Vurca,http://creativecommons.org/publicdomain/zero/1.0/,fs_315753_running_gear.mp3
construct,418790,Antique Coffee Grinder With Beans,24.62,alexanderdanner,http://creativecommons.org/publicdomain/zero/1.0/,fs_418790_antique_coffee_grinder_with_beans.mp3
construct,813066,Sound Design Elements-Robot mechanism-007,4.5,AudioPapkin,http://creativecommons.org/publicdomain/zero/1.0/,fs_813066_sound_design_elements_robot_mechanism_00.mp3
construct,813063,Sound Design Elements-Robot mechanism-004,2.09,AudioPapkin,http://creativecommons.org/publicdomain/zero/1.0/,fs_813063_sound_design_elements_robot_mechanism_00.mp3
construct,813068,Sound Design Elements-Robot mechanism-009,4.41,AudioPapkin,http://creativecommons.org/publicdomain/zero/1.0/,fs_813068_sound_design_elements_robot_mechanism_00.mp3
construct,83882,gearwinedsnd.wav,10.68,Jedimichael,http://creativecommons.org/publicdomain/zero/1.0/,fs_83882_gearwinedsnd_wav.mp3
construct,813060,Sound Design Elements-Robot mechanism-001,3.5,AudioPapkin,http://creativecommons.org/publicdomain/zero/1.0/,fs_813060_sound_design_elements_robot_mechanism_00.mp3
construct,813065,Sound Design Elements-Robot mechanism-006,2.94,AudioPapkin,http://creativecommons.org/publicdomain/zero/1.0/,fs_813065_sound_design_elements_robot_mechanism_00.mp3
construct,813064,Sound Design Elements-Robot mechanism-005,1.61,AudioPapkin,http://creativecommons.org/publicdomain/zero/1.0/,fs_813064_sound_design_elements_robot_mechanism_00.mp3
construct,813062,Sound Design Elements-Robot mechanism-003,2.8,AudioPapkin,http://creativecommons.org/publicdomain/zero/1.0/,fs_813062_sound_design_elements_robot_mechanism_00.mp3
construct,813081,Sound Design Elements-Robot mechanism-022,2.85,AudioPapkin,http://creativecommons.org/publicdomain/zero/1.0/,fs_813081_sound_design_elements_robot_mechanism_02.mp3
construct,813079,Sound Design Elements-Robot mechanism-020,2.11,AudioPapkin,http://creativecommons.org/publicdomain/zero/1.0/,fs_813079_sound_design_elements_robot_mechanism_02.mp3
construct,813078,Sound Design Elements-Robot mechanism-019,2.3,AudioPapkin,http://creativecommons.org/publicdomain/zero/1.0/,fs_813078_sound_design_elements_robot_mechanism_01.mp3
construct,813074,Sound Design Elements-Robot mechanism-015,4.04,AudioPapkin,http://creativecommons.org/publicdomain/zero/1.0/,fs_813074_sound_design_elements_robot_mechanism_01.mp3
construct,813071,Sound Design Elements-Robot mechanism-012,3.13,AudioPapkin,http://creativecommons.org/publicdomain/zero/1.0/,fs_813071_sound_design_elements_robot_mechanism_01.mp3
construct,388552,bmb1.wav,2.71,suzenako,http://creativecommons.org/publicdomain/zero/1.0/,fs_388552_bmb1_wav.mp3
elemental,260555,Basic Fire Whoosh 2,4.89,LookIMadeAThing,http://creativecommons.org/publicdomain/zero/1.0/,fs_260555_basic_fire_whoosh_2.mp3
elemental,244926,fire-whoosh.wav,3.86,hnhnh,http://creativecommons.org/publicdomain/zero/1.0/,fs_244926_fire_whoosh_wav.mp3
elemental,178886,red whoosh gladiator 04.wav,2.59,martian,http://creativecommons.org/publicdomain/zero/1.0/,fs_178886_red_whoosh_gladiator_04_wav.mp3
elemental,181577,Whoosh.wav,9.05,kingsrow,http://creativecommons.org/publicdomain/zero/1.0/,fs_181577_whoosh_wav.mp3
elemental,181578,Whoosh02.wav,10.68,kingsrow,http://creativecommons.org/publicdomain/zero/1.0/,fs_181578_whoosh02_wav.mp3
elemental,186374,Bonfire Being Lit,7.52,samararaine,http://creativecommons.org/publicdomain/zero/1.0/,fs_186374_bonfire_being_lit.mp3
elemental,675772,S31-09 Flare whoosh.wav,2.91,craigsmith,http://creativecommons.org/publicdomain/zero/1.0/,fs_675772_s31_09_flare_whoosh_wav.mp3
